Date,AvgPrice
2023-05-23,4162.65002
2023-05-22,4193.07751
2023-05-19,4197.31006
2023-05-18,4177.85754
2023-05-17,4139.97754
2023-05-16,4120.8125
2023-05-15,4128.61243
2023-05-12,4126.37012
2023-05-11,4126.23755
2023-05-10,4133.64502
2023-05-09,4122.60498
2023-05-08,4135.30249
2023-05-05,4113.1825
2023-05-04,4068.66504
2023-05-03,4112.53998
2023-05-02,4134.37506
2023-05-01,4171.42505
2023-04-28,4149.08752
2023-04-27,4106.0426
2023-04-26,4070.69751
2023-04-25,4098.96753
2023-04-24,4132.32251
2023-04-21,4129.38501
2023-04-20,4130.85242
2023-04-19,4147.72754
2023-04-18,4157.24243
2023-04-17,4140.84753
2023-04-14,4138.53503
2023-04-13,4123.97998
2023-04-12,4108.74506
2023-04-11,4111.5249
2023-04-10,4094.08997
2023-04-06,4090.83246
2023-04-05,4089.28247
2023-04-04,4112.15747
2023-04-03,4113.29004
2023-03-31,4083.10498
2023-03-30,4046.88007
2023-03-29,4014.36505
2023-03-28,3969.03247
2023-03-27,3983.69501
2023-03-24,3948.02496
2023-03-23,3958.65997
2023-03-22,3978.66748
2023-03-21,3989.75751
2023-03-20,3935.63751
2023-03-17,3933.87744
2023-03-16,3916.94501
2023-03-15,3875.29248
2023-03-14,3906.05499
2023-03-13,3851.19757
2023-03-10,3888.68256
2023-03-09,3960.8725
2023-03-08,3987.4325
2023-03-07,4016.23505
2023-03-06,4056.66748
2023-03-03,4021.77997
2023-03-02,3959.75751
2023-03-01,3956.3775
2023-02-28,3978.45496
2023-02-27,3991.55005
2023-02-24,3966.15253
2023-02-23,4007.10254
2023-02-22,3996.78754
2023-02-21,4024.30756
2023-02-17,4071.48499
2023-02-16,4107.79749
2023-02-15,4129.79749
2023-02-14,4129.40253
2023-02-13,4116.37
2023-02-10,4078.63251
2023-02-09,4112.91248
2023-02-08,4134.96252
2023-02-07,4133.57001
2023-02-06,4112.16492
2023-02-03,4144.72241
